training.days,subject,item,testing.stimuli,response
day1,sub1,20,untrained,1
day1,sub1,40,untrained,0
day1,sub1,1,trained,1
day1,sub1,47,untrained,0
day1,sub1,41,untrained,0
day1,sub1,19,untrained,1
day1,sub1,35,untrained,0
day1,sub1,14,trained,1
day1,sub1,13,trained,1
day1,sub1,38,untrained,0
day1,sub1,17,trained,1
day1,sub1,31,untrained,1
day1,sub1,8,trained,1
day1,sub1,48,untrained,1
day1,sub1,39,untrained,0
day1,sub1,4,trained,1
day1,sub1,11,trained,1
day1,sub1,3,untrained,1
day1,sub1,45,untrained,1
day1,sub1,12,trained,1
day1,sub1,16,untrained,1
day1,sub1,22,trained,1
day1,sub1,6,untrained,1
day1,sub1,26,untrained,1
day1,sub1,46,untrained,0
day1,sub1,32,untrained,1
day1,sub1,27,trained,1
day1,sub1,42,untrained,1
day1,sub1,18,trained,1
day1,sub1,30,trained,1
day1,sub1,24,trained,1
day1,sub1,29,trained,1
day1,sub1,7,trained,1
day1,sub1,25,untrained,1
day1,sub1,21,untrained,1
day1,sub1,2,untrained,1
day1,sub1,28,untrained,1
day1,sub1,33,untrained,0
day1,sub1,5,untrained,1
day1,sub1,34,untrained,0
day1,sub1,9,untrained,1
day1,sub1,44,untrained,1
day1,sub1,10,untrained,1
day1,sub1,15,untrained,1
day1,sub1,43,untrained,1
day1,sub1,23,trained,1
day1,sub1,37,untrained,0
day1,sub1,36,untrained,0
day1,sub1,13,trained,1
day1,sub1,1,trained,1
day1,sub1,7,trained,1
day1,sub1,46,untrained,1
day1,sub1,38,untrained,0
day1,sub1,20,untrained,1
day1,sub1,5,untrained,1
day1,sub1,27,trained,1
day1,sub1,9,untrained,1
day1,sub1,47,untrained,1
day1,sub1,39,untrained,0
day1,sub1,10,untrained,1
day1,sub1,6,untrained,1
day1,sub1,18,trained,1
day1,sub1,35,untrained,0
day1,sub1,15,untrained,1
day1,sub1,17,trained,1
day1,sub1,22,trained,1
day1,sub1,33,untrained,0
day1,sub1,41,untrained,1
day1,sub1,42,untrained,1
day1,sub1,29,trained,1
day1,sub1,19,untrained,1
day1,sub1,34,untrained,0
day1,sub1,23,trained,1
day1,sub1,21,untrained,1
day1,sub1,14,trained,1
day1,sub1,2,untrained,1
day1,sub1,11,trained,1
day1,sub1,30,trained,1
day1,sub1,4,trained,1
day1,sub1,8,trained,1
day1,sub1,28,untrained,1
day1,sub1,24,trained,1
day1,sub1,40,untrained,0
day1,sub1,37,untrained,0
day1,sub1,48,untrained,1
day1,sub1,32,untrained,1
day1,sub1,44,untrained,1
day1,sub1,36,untrained,0
day1,sub1,43,untrained,1
day1,sub1,3,untrained,1
day1,sub1,25,untrained,1
day1,sub1,26,untrained,1
day1,sub1,31,untrained,1
day1,sub1,12,trained,1
day1,sub1,45,untrained,1
day1,sub1,16,untrained,1
day1,sub10,45,untrained,0
day1,sub10,48,untrained,1
day1,sub10,28,trained,1
day1,sub10,38,untrained,0
day1,sub10,14,untrained,1
day1,sub10,23,untrained,1
day1,sub10,2,trained,1
day1,sub10,46,untrained,1
day1,sub10,26,trained,1
day1,sub10,47,untrained,1
day1,sub10,16,trained,1
day1,sub10,4,untrained,1
day1,sub10,22,untrained,1
day1,sub10,19,trained,0
day1,sub10,30,untrained,1
day1,sub10,15,trained,1
day1,sub10,36,untrained,0
day1,sub10,39,untrained,0
day1,sub10,11,untrained,1
day1,sub10,20,trained,
day1,sub10,31,trained,1
day1,sub10,9,trained,1
day1,sub10,44,untrained,1
day1,sub10,10,trained,1
day1,sub10,1,untrained,0
day1,sub10,29,untrained,0
day1,sub10,13,untrained,0
day1,sub10,24,untrained,1
day1,sub10,37,untrained,0
day1,sub10,25,trained,0
day1,sub10,34,untrained,1
day1,sub10,5,trained,1
day1,sub10,43,untrained,1
day1,sub10,18,untrained,1
day1,sub10,33,untrained,1
day1,sub10,6,trained,0
day1,sub10,12,untrained,1
day1,sub10,40,untrained,0
day1,sub10,32,trained,1
day1,sub10,3,trained,1
day1,sub10,42,untrained,1
day1,sub10,7,untrained,1
day1,sub10,21,trained,0
day1,sub10,41,untrained,0
day1,sub10,35,untrained,1
day1,sub10,8,untrained,1
day1,sub10,27,untrained,
day1,sub10,17,untrained,0
day1,sub10,13,untrained,1
day1,sub10,46,untrained,0
day1,sub10,6,trained,1
day1,sub10,24,untrained,1
day1,sub10,35,untrained,0
day1,sub10,16,trained,1
day1,sub10,15,trained,1
day1,sub10,28,trained,1
day1,sub10,1,untrained,1
day1,sub10,21,trained,1
day1,sub10,34,untrained,0
day1,sub10,14,untrained,1
day1,sub10,37,untrained,0
day1,sub10,40,untrained,0
day1,sub10,44,untrained,0
day1,sub10,3,trained,1
day1,sub10,18,untrained,1
day1,sub10,30,untrained,1
day1,sub10,29,untrained,0
day1,sub10,4,untrained,0
day1,sub10,27,untrained,0
day1,sub10,11,untrained,0
day1,sub10,38,untrained,0
day1,sub10,31,trained,1
day1,sub10,43,untrained,0
day1,sub10,8,untrained,1
day1,sub10,32,trained,1
day1,sub10,10,trained,0
day1,sub10,9,trained,0
day1,sub10,23,untrained,0
day1,sub10,5,trained,1
day1,sub10,48,untrained,0
day1,sub10,41,untrained,0
day1,sub10,36,untrained,0
day1,sub10,19,trained,1
day1,sub10,25,trained,0
day1,sub10,45,untrained,0
day1,sub10,2,trained,0
day1,sub10,26,trained,0
day1,sub10,22,untrained,1
day1,sub10,7,untrained,0
day1,sub10,39,untrained,0
day1,sub10,17,untrained,1
day1,sub10,20,trained,1
day1,sub10,42,untrained,0
day1,sub10,12,untrained,0
day1,sub10,47,untrained,
day1,sub10,33,untrained,0
day1,sub11,25,trained,0
day1,sub11,39,untrained,0
day1,sub11,34,untrained,0
day1,sub11,32,trained,1
day1,sub11,36,untrained,0
day1,sub11,23,untrained,1
day1,sub11,43,untrained,0
day1,sub11,6,trained,1
day1,sub11,48,untrained,0
day1,sub11,21,trained,1
day1,sub11,19,trained,1
day1,sub11,1,untrained,1
day1,sub11,45,untrained,0
day1,sub11,15,trained,1
day1,sub11,29,untrained,1
day1,sub11,31,trained,1
day1,sub11,37,untrained,0
day1,sub11,38,untrained,0
day1,sub11,16,trained,1
day1,sub11,24,untrained,1
day1,sub11,44,untrained,0
day1,sub11,30,untrained,1
day1,sub11,46,untrained,0
day1,sub11,9,trained,1
day1,sub11,17,untrained,1
day1,sub11,14,untrained,1
day1,sub11,27,untrained,1
day1,sub11,13,untrained,1
day1,sub11,8,untrained,1
day1,sub11,35,untrained,0
day1,sub11,3,trained,1
day1,sub11,12,untrained,1
day1,sub11,42,untrained,0
day1,sub11,18,untrained,1
day1,sub11,11,untrained,1
day1,sub11,33,untrained,1
day1,sub11,22,untrained,1
day1,sub11,4,untrained,0
day1,sub11,7,untrained,1
day1,sub11,5,trained,1
day1,sub11,20,trained,1
day1,sub11,28,trained,1
day1,sub11,47,untrained,0
day1,sub11,26,trained,1
day1,sub11,41,untrained,0
day1,sub11,2,trained,1
day1,sub11,10,trained,1
day1,sub11,40,untrained,0
day1,sub11,44,untrained,0
day1,sub11,21,trained,1
day1,sub11,34,untrained,0
day1,sub11,37,untrained,0
day1,sub11,4,untrained,1
day1,sub11,19,trained,1
day1,sub11,1,untrained,1
day1,sub11,33,untrained,0
day1,sub11,7,untrained,1
day1,sub11,36,untrained,0
day1,sub11,26,trained,1
day1,sub11,8,untrained,1
day1,sub11,20,trained,1
day1,sub11,43,untrained,0
day1,sub11,47,untrained,0
day1,sub11,48,untrained,0
day1,sub11,13,untrained,1
day1,sub11,31,trained,1
day1,sub11,45,untrained,0
day1,sub11,28,trained,1
day1,sub11,25,trained,1
day1,sub11,11,untrained,1
day1,sub11,38,untrained,0
day1,sub11,22,untrained,1
day1,sub11,41,untrained,0
day1,sub11,6,trained,1
day1,sub11,14,untrained,1
day1,sub11,3,trained,1
day1,sub11,46,untrained,0
day1,sub11,15,trained,1
day1,sub11,23,untrained,1
day1,sub11,18,untrained,1
day1,sub11,29,untrained,1
day1,sub11,5,trained,1
day1,sub11,17,untrained,1
day1,sub11,12,untrained,1
day1,sub11,24,untrained,1
day1,sub11,32,trained,1
day1,sub11,2,trained,1
day1,sub11,9,trained,1
day1,sub11,39,untrained,0
day1,sub11,16,trained,1
day1,sub11,27,untrained,1
day1,sub11,42,untrained,0
day1,sub11,40,untrained,0
day1,sub11,30,untrained,1
day1,sub11,10,trained,1
day1,sub11,35,untrained,0
day1,sub12,3,trained,1
day1,sub12,21,trained,1
day1,sub12,43,untrained,0
day1,sub12,11,untrained,1
day1,sub12,38,untrained,0
day1,sub12,47,untrained,0
day1,sub12,32,trained,1
day1,sub12,34,untrained,0
day1,sub12,23,untrained,1
day1,sub12,7,untrained,1
day1,sub12,35,untrained,0
day1,sub12,18,untrained,0
day1,sub12,17,untrained,1
day1,sub12,26,trained,1
day1,sub12,28,trained,1
day1,sub12,10,trained,1
day1,sub12,44,untrained,0
day1,sub12,25,trained,1
day1,sub12,15,trained,1
day1,sub12,33,untrained,0
day1,sub12,22,untrained,1
day1,sub12,45,untrained,0
day1,sub12,14,untrained,1
day1,sub12,9,trained,1
day1,sub12,1,untrained,1
day1,sub12,27,untrained,1
day1,sub12,41,untrained,1
day1,sub12,13,untrained,1
day1,sub12,31,trained,1
day1,sub12,6,trained,1
day1,sub12,42,untrained,1
day1,sub12,5,trained,1
day1,sub12,39,untrained,0
day1,sub12,8,untrained,1
day1,sub12,37,untrained,0
day1,sub12,29,untrained,1
day1,sub12,20,trained,1
day1,sub12,36,untrained,0
day1,sub12,19,trained,0
day1,sub12,16,trained,1
day1,sub12,24,untrained,1
day1,sub12,12,untrained,1
day1,sub12,46,untrained,0
day1,sub12,30,untrained,0
day1,sub12,40,untrained,0
day1,sub12,48,untrained,0
day1,sub12,2,trained,1
day1,sub12,4,untrained,1
day1,sub12,2,trained,1
day1,sub12,28,trained,1
day1,sub12,41,untrained,0
day1,sub12,23,untrained,1
day1,sub12,17,untrained,1
day1,sub12,24,untrained,1
day1,sub12,29,untrained,1
day1,sub12,36,untrained,0
day1,sub12,43,untrained,1
day1,sub12,35,untrained,0
day1,sub12,13,untrained,1
day1,sub12,21,trained,1
day1,sub12,8,untrained,1
day1,sub12,18,untrained,1
day1,sub12,16,trained,1
day1,sub12,19,trained,1
day1,sub12,12,untrained,0
day1,sub12,33,untrained,0
day1,sub12,48,untrained,0
day1,sub12,40,untrained,0
day1,sub12,31,trained,0
day1,sub12,37,untrained,0
day1,sub12,1,untrained,1
day1,sub12,25,trained,0
day1,sub12,15,trained,1
day1,sub12,10,trained,1
day1,sub12,11,untrained,1
day1,sub12,20,trained,1
day1,sub12,14,untrained,1
day1,sub12,45,untrained,0
day1,sub12,7,untrained,1
day1,sub12,46,untrained,0
day1,sub12,47,untrained,0
day1,sub12,3,trained,1
day1,sub12,42,untrained,0
day1,sub12,6,trained,1
day1,sub12,26,trained,0
day1,sub12,9,trained,0
day1,sub12,39,untrained,0
day1,sub12,4,untrained,1
day1,sub12,5,trained,1
day1,sub12,30,untrained,0
day1,sub12,27,untrained,1
day1,sub12,34,untrained,0
day1,sub12,22,untrained,1
day1,sub12,44,untrained,1
day1,sub12,38,untrained,0
day1,sub12,32,trained,0
day1,sub13,6,trained,1
day1,sub13,23,untrained,1
day1,sub13,27,untrained,1
day1,sub13,28,trained,1
day1,sub13,39,untrained,0
day1,sub13,31,trained,1
day1,sub13,43,untrained,0
day1,sub13,42,untrained,0
day1,sub13,7,untrained,1
day1,sub13,3,trained,1
day1,sub13,48,untrained,1
day1,sub13,32,trained,1
day1,sub13,15,trained,1
day1,sub13,16,trained,1
day1,sub13,45,untrained,0
day1,sub13,13,untrained,1
day1,sub13,24,untrained,1
day1,sub13,46,untrained,0
day1,sub13,33,untrained,0
day1,sub13,8,untrained,1
day1,sub13,44,untrained,0
day1,sub13,29,untrained,0
day1,sub13,4,untrained,1
day1,sub13,11,untrained,1
day1,sub13,19,trained,1
day1,sub13,26,trained,1
day1,sub13,41,untrained,0
day1,sub13,30,untrained,1
day1,sub13,38,untrained,1
day1,sub13,40,untrained,1
day1,sub13,12,untrained,1
day1,sub13,47,untrained,1
day1,sub13,25,trained,1
day1,sub13,18,untrained,1
day1,sub13,17,untrained,1
day1,sub13,9,trained,1
day1,sub13,1,untrained,1
day1,sub13,20,trained,1
day1,sub13,22,untrained,1
day1,sub13,36,untrained,0
day1,sub13,10,trained,1
day1,sub13,21,trained,1
day1,sub13,2,trained,1
day1,sub13,14,untrained,0
day1,sub13,37,untrained,0
day1,sub13,35,untrained,0
day1,sub13,5,trained,1
day1,sub13,34,untrained,0
day1,sub13,29,untrained,0
day1,sub13,1,untrained,1
day1,sub13,17,untrained,1
day1,sub13,42,untrained,0
day1,sub13,32,trained,1
day1,sub13,6,trained,1
day1,sub13,5,trained,1
day1,sub13,14,untrained,1
day1,sub13,34,untrained,0
day1,sub13,12,untrained,1
day1,sub13,37,untrained,1
day1,sub13,46,untrained,0
day1,sub13,41,untrained,1
day1,sub13,44,untrained,0
day1,sub13,35,untrained,0
day1,sub13,40,untrained,0
day1,sub13,22,untrained,1
day1,sub13,16,trained,1
day1,sub13,38,untrained,0
day1,sub13,20,trained,1
day1,sub13,47,untrained,0
day1,sub13,3,trained,1
day1,sub13,2,trained,1
day1,sub13,13,untrained,1
day1,sub13,24,untrained,1
day1,sub13,33,untrained,1
day1,sub13,10,trained,1
day1,sub13,9,trained,1
day1,sub13,23,untrained,1
day1,sub13,36,untrained,0
day1,sub13,8,untrained,0
day1,sub13,26,trained,1
day1,sub13,39,untrained,1
day1,sub13,11,untrained,1
day1,sub13,21,trained,1
day1,sub13,27,untrained,1
day1,sub13,43,untrained,1
day1,sub13,19,trained,0
day1,sub13,25,trained,1
day1,sub13,48,untrained,0
day1,sub13,45,untrained,1
day1,sub13,7,untrained,0
day1,sub13,31,trained,1
day1,sub13,18,untrained,0
day1,sub13,28,trained,
day1,sub13,15,trained,0
day1,sub13,4,untrained,1
day1,sub13,30,untrained,1
day1,sub14,41,untrained,0
day1,sub14,29,untrained,1
day1,sub14,30,untrained,1
day1,sub14,2,trained,1
day1,sub14,26,trained,0
day1,sub14,42,untrained,0
day1,sub14,10,trained,1
day1,sub14,7,untrained,1
day1,sub14,4,untrained,0
day1,sub14,22,untrained,1
day1,sub14,12,untrained,0
day1,sub14,5,trained,1
day1,sub14,18,untrained,1
day1,sub14,11,untrained,1
day1,sub14,1,untrained,1
day1,sub14,19,trained,1
day1,sub14,47,untrained,1
day1,sub14,13,untrained,1
day1,sub14,48,untrained,1
day1,sub14,35,untrained,1
day1,sub14,21,trained,1
day1,sub14,14,untrained,1
day1,sub14,36,untrained,0
day1,sub14,24,untrained,1
day1,sub14,40,untrained,0
day1,sub14,3,trained,1
day1,sub14,45,untrained,1
day1,sub14,23,untrained,1
day1,sub14,38,untrained,0
day1,sub14,6,trained,1
day1,sub14,31,trained,1
day1,sub14,43,untrained,1
day1,sub14,25,trained,0
day1,sub14,46,untrained,1
day1,sub14,15,trained,1
day1,sub14,44,untrained,1
day1,sub14,39,untrained,0
day1,sub14,34,untrained,0
day1,sub14,32,trained,1
day1,sub14,17,untrained,0
day1,sub14,9,trained,0
day1,sub14,27,untrained,1
day1,sub14,37,untrained,0
day1,sub14,8,untrained,1
day1,sub14,20,trained,0
day1,sub14,33,untrained,0
day1,sub14,28,trained,0
day1,sub14,16,trained,1
day1,sub14,36,untrained,0
day1,sub14,39,untrained,0
day1,sub14,6,trained,1
day1,sub14,48,untrained,0
day1,sub14,22,untrained,1
day1,sub14,18,untrained,1
day1,sub14,13,untrained,1
day1,sub14,25,trained,0
day1,sub14,35,untrained,0
day1,sub14,12,untrained,1
day1,sub14,20,trained,1
day1,sub14,8,untrained,1
day1,sub14,19,trained,1
day1,sub14,47,untrained,0
day1,sub14,24,untrained,1
day1,sub14,34,untrained,0
day1,sub14,28,trained,1
day1,sub14,38,untrained,0
day1,sub14,40,untrained,0
day1,sub14,7,untrained,1
day1,sub14,46,untrained,0
day1,sub14,45,untrained,0
day1,sub14,27,untrained,0
day1,sub14,42,untrained,0
day1,sub14,33,untrained,0
day1,sub14,37,untrained,0
day1,sub14,5,trained,1
day1,sub14,26,trained,0
